_id,_score,symbol,notfound
ENSG00000227097,6.910001,RPS28P7,
7138,20.36588,TNNT1,
4535,19.651003,ND1,
ENSG00000211679,21.327978,IGLC3,
ENSG00000211459,20.545593,MT-RNR1,
6590,19.320019,SLPI,
6229,19.051487,RPS24,
6191,19.844347,RPS4X,
2023,19.056873,ENO1,
6277,19.62513,S100A6,
ENSG00000239951,21.403406,IGKV3-20,
5806,20.02836,PTX3,
57124,19.630213,CD248,
10956,20.092266,OS9,
2006,18.813658,ELN,
4540,21.10962,ND5,
4508,19.296967,ATP6,
219,19.650225,ALDH1B1,
718,19.438456,C3,
ENSG00000211892,21.423666,IGHG4,
58,19.393702,ACTA1,
6137,21.10962,RPL13,
6202,19.062698,RPS8,
25884,20.02836,CHRDL2,
1158,19.319172,CKM,
6122,20.19192,RPL3,
ENSG00000211598,21.288292,IGKV4-1,
4514,19.62513,COX3,
,,,True
8404,19.61038,SPARCL1,
972,18.926373,CD74,
4519,19.981823,CYTB,
7168,19.054682,TPM1,
5660,19.389975,PSAP,
161291,20.026688,TMEM30B,
4313,19.621445,MMP2,
7869,19.63106,SEMA3B,
1019,19.317896,CDK4,
3106,18.832876,HLA-B,
6423,19.322302,SFRP2,
10398,19.608006,MYL9,
54360,19.838121,CYTL1,
6181,19.990135,RPLP2,
3123,19.303082,HLA-DRB1,
6275,19.845728,S100A4,
6206,19.606598,RPS12,
2512,19.054525,FTL,
4151,19.999916,MB,
1674,21.229317,DES,
59,19.409777,ACTA2,
171024,20.02766,SYNPO2,
4629,19.609581,MYH11,
10232,19.96779,MSLN,
4323,19.594103,MMP14,
1675,19.62146,CFD,
8557,19.28085,TCAP,
2199,19.70474,FBLN2,
1917,19.99912,EEF1A2,
ENSG00000211899,20.535568,IGHM,
4539,20.020597,ND4L,
7060,20.607721,THBS4,
3481,19.986322,IGF2,
1465,19.651003,CSRP1,
ENSG00000255737,20.612085,AGAP2-AS1,
7114,19.96779,TMSB4X,
2597,19.313313,GAPDH,
4502,20.437536,MT2A,
6696,19.132755,SPP1,
ENSG00000211897,20.36726,IGHG3,
6136,19.66035,RPL12,
4223,19.31346,MEOX2,
126393,21.1153,HSPB6,
5837,20.01975,PYGM,
7431,19.058962,VIM,
4536,19.629848,ND2,
1299,19.996136,COL9A3,
4512,20.48932,COX1,
56265,21.1153,CPXM1,
ENSG00000241351,20.36464,IGKV3-11,
25873,20.859919,RPL36,
1291,20.014193,COL6A1,
221476,20.31784,PI16,
11167,19.389519,FSTL1,
1281,19.327784,COL3A1,
6125,19.319172,RPL5,
6678,21.157658,SPARC,
ENSG00000210082,20.496513,MT-RNR2,
6203,20.181883,RPS9,
6132,21.111443,RPL8,
ENSG00000211677,21.333908,IGLC2,
3696,20.08619,ITGB8,
4537,19.317896,ND3,
10267,20.016386,RAMP1,
ENSG00000211893,20.973663,IGHG2,
6135,19.054525,RPL11,
4513,20.087912,COX2,
6281,19.14818,S100A10,
1264,20.859919,CNN1,
4060,19.059875,LUM,
5104,20.36588,SERPINA5,
10576,19.634523,CCT2,
4638,19.054379,MYLK,
642658,19.14818,SCX,
72,20.544075,ACTG2,
1915,19.845728,EEF1A1,
83442,19.606598,SH3BGRL3,
3916,18.70664,LAMP1,
929,19.313313,CD14,
5054,19.696651,SERPINE1,
23521,20.018475,RPL13A,
845,19.145359,CASQ2,
2273,19.53422,FHL1,
2824,19.624498,GPM6B,
ENSG00000211896,21.151432,IGHG1,
5320,19.630213,PLA2G2A,
6222,19.70273,RPS18,
712,19.845728,C1QA,
387914,21.10962,SHISA2,
3956,21.111443,LGALS1,
6285,19.838121,S100B,
3105,19.310408,HLA-A,
94031,19.39169,HTRA3,
3122,20.014193,HLA-DRA,
6164,19.295559,RPL34,
3488,20.545593,IGFBP5,
7123,19.054379,CLEC3B,
1278,19.827993,COL1A2,
1289,19.150843,COL5A1,
6035,19.63812,RNASE1,
9452,19.606598,ITM2A,
1805,20.319664,DPT,
4234,20.115635,METTL1,
81618,20.349525,ITM2C,
4193,19.39169,MDM2,
7305,19.404293,TYROBP,
967,18.70084,CD63,
23336,20.48932,SYNM,
6282,20.549892,S100A11,
4804,18.829666,NGFR,
6205,19.61412,RPS11,
6302,19.994976,TSPAN31,
2,19.606598,A2M,
6223,18.840893,RPS19,
348,19.313313,APOE,
10106,19.6006,CTDSP2,
11034,19.303082,DSTN,
1634,19.145359,DCN,
5730,19.996136,PTGDS,
6124,20.545593,RPL4,
9244,20.020597,CRLF1,
4256,19.289558,MGP,
5360,19.281246,PLTP,
4239,19.624655,MFAP4,
4736,20.31784,RPL10A,
ENSG00000211592,21.327347,IGKC,
800,21.1153,CALD1,
51285,19.14818,RASL12,
714,19.281246,C1QC,
6187,19.626848,RPS2,
ENSG00000211895,21.403864,IGHA1,
2350,19.700558,FOLR2,
1277,18.906595,COL1A1,
9168,19.62146,TMSB10,
4509,20.544075,ATP8,
6232,20.172535,RPS27,
6194,19.844347,RPS6,
770,19.634523,CA11,
1490,19.061085,CCN2,
1938,19.696651,EEF2,
8406,20.36588,SRPX,
3315,20.44529,HSPB1,
6876,19.63812,TAGLN,
2719,19.634523,GPC3,
4538,20.087912,ND4,
347,19.385612,APOD,
5350,19.66035,PLN,
7169,18.841227,TPM2,
2316,20.172535,FLNA,
3489,19.833086,IGFBP6,
7134,19.621685,TNNC1,
1191,19.14818,CLU,
6362,19.321966,CCL18,
6175,20.172535,RPLP0,
1508,21.10962,CTSB,
6495,19.700558,SIX1,
4318,18.832573,MMP9,
10631,20.36464,POSTN,
64102,20.36588,TNMD,
4312,19.404293,MMP1,
26232,20.025345,FBXO2,
713,19.608006,C1QB,
6130,19.054379,RPL7A,
54,19.273006,ACP5,
4541,20.6138,ND6,
60,19.294397,ACTB,
25802,19.844347,LMOD1,
8639,19.96779,AOC3,
8407,21.1153,TAGLN2,
6649,19.696651,SOD3,
7076,19.39169,TIMP1,
